LOC,ZC,CITY,BOUROUGHS_STATE,LAT,LONG,num_calls,BOUROUGHS,STATE
Club/Bar/Restaurant,11216.0,,"BROOKLYN, NY",-73.93799942,-73.93799942,NaN,,
Club/Bar/Restaurant,10014.0,NEW YORK,"MANHATTAN, NY",-74.00798156,-74.00798156,57,,
Club/Bar/Restaurant,11215.0,,"BROOKLYN, NY",-73.98033486,-73.98033486,73,,
Club/Bar/Restaurant,10016.0,NEW YORK,"MANHATTAN, NY",-73.98561878,-73.98561878,38,,
Club/Bar/Restaurant,10026.0,NEW YORK,"MANHATTAN, NY",-73.95530368,-73.95530368,12,,
Club/Bar/Restaurant,11232.0,,"BROOKLYN, NY",-74.00447957,-74.00447957,17,,
Club/Bar/Restaurant,11103.0,ASTORIA,"QUEENS, NY",-73.91791611,-73.91791611,29,,
Club/Bar/Restaurant,10307.0,STATEN ISLAND,"STATEN ISLAND, NY",-74.25123739,-74.25123739,50,,
Club/Bar/Restaurant,10002.0,NEW YORK,"MANHATTAN, NY",-73.99266213,-73.99266213,78,,
Club/Bar/Restaurant,11433.0,JAMAICA,"QUEENS, NY",-73.78659995,-73.78659995,388,,
Club/Bar/Restaurant,10040.0,NEW YORK,"MANHATTAN, NY",-73.93061428,-73.93061428,18,,
Club/Bar/Restaurant,11221.0,,"BROOKLYN, NY",-73.92745325,-73.92745325,19,,
Club/Bar/Restaurant,10034.0,NEW YORK,"MANHATTAN, NY",-73.91893043,-73.91893043,87,,
Club/Bar/Restaurant,10034.0,NEW YORK,"MANHATTAN, NY",-73.9169743,-73.9169743,30,,
Club/Bar/Restaurant,11102.0,ASTORIA,"QUEENS, NY",-73.92062464,-73.92062464,112,,
Club/Bar/Restaurant,10034.0,New York,"MANHATTAN, NY",-73.92770907,-73.92770907,117,,
Club/Bar/Restaurant,11211.0,,"BROOKLYN, NY",-73.95731359,-73.95731359,38,,
Club/Bar/Restaurant,11205.0,,"BROOKLYN, NY",-73.95831169,-73.95831169,55,,
Club/Bar/Restaurant,11219.0,,"BROOKLYN, NY",-74.00656803,-74.00656803,14,,
Club/Bar/Restaurant,11206.0,,"BROOKLYN, NY",-73.94290878,-73.94290878,68,,
Club/Bar/Restaurant,11225.0,,"BROOKLYN, NY",-73.9506476,-73.9506476,146,,
Club/Bar/Restaurant,10012.0,NEW YORK,"MANHATTAN, NY",-73.99961394,-73.99961394,41,,
Club/Bar/Restaurant,11385.0,RIDGEWOOD,"QUEENS, NY",-73.90874124,-73.90874124,109,,
Club/Bar/Restaurant,10012.0,NEW YORK,"MANHATTAN, NY",-74.0010319,-74.0010319,99,,
Club/Bar/Restaurant,10002.0,NEW YORK,"MANHATTAN, NY",-73.98452032,-73.98452032,57,,
Club/Bar/Restaurant,11374.0,REGO PARK,"QUEENS, NY",-73.86718968,-73.86718968,20,,
Club/Bar/Restaurant,11225.0,,"BROOKLYN, NY",-73.96062997,-73.96062997,162,,
Club/Bar/Restaurant,11238.0,,"BROOKLYN, NY",-73.96835251,-73.96835251,11,,
Club/Bar/Restaurant,11105.0,ASTORIA,"QUEENS, NY",-73.90877704,-73.90877704,NaN,,
Club/Bar/Restaurant,11204.0,,"BROOKLYN, NY",-73.98370275,-73.98370275,22,,
Club/Bar/Restaurant,10014.0,NEW YORK,"MANHATTAN, NY",-74.00282511,-74.00282511,25,,
Club/Bar/Restaurant,11231.0,,"BROOKLYN, NY",-73.99342718,-73.99342718,11,,
Club/Bar/Restaurant,10012.0,NEW YORK,"MANHATTAN, NY",-73.99670626,-73.99670626,NaN,,
Club/Bar/Restaurant,10011.0,NEW YORK,"MANHATTAN, NY",-74.00308184,-74.00308184,91,,
Club/Bar/Restaurant,10128.0,NEW YORK,"MANHATTAN, NY",-73.95223925,-73.95223925,14,,
Club/Bar/Restaurant,11226.0,,"BROOKLYN, NY",-73.95530567,-73.95530567,642,,
Club/Bar/Restaurant,11249.0,,"BROOKLYN, NY",-73.96084757,-73.96084757,16,,
Club/Bar/Restaurant,11211.0,,"BROOKLYN, NY",-73.95117114,-73.95117114,13,,
Club/Bar/Restaurant,11211.0,,"BROOKLYN, NY",-73.95887449,-73.95887449,17,,
Club/Bar/Restaurant,10009.0,NEW YORK,"MANHATTAN, NY",-73.98411452,-73.98411452,11,,
Club/Bar/Restaurant,10016.0,NEW YORK,"MANHATTAN, NY",-73.97860649,-73.97860649,13,,
Club/Bar/Restaurant,10013.0,NEW YORK,"MANHATTAN, NY",-73.99959599,-73.99959599,74,,
Club/Bar/Restaurant,11432.0,JAMAICA,"QUEENS, NY",-73.80246765,-73.80246765,NaN,,
Club/Bar/Restaurant,10034.0,NEW YORK,"MANHATTAN, NY",-73.92693205,-73.92693205,26,,
Club/Bar/Restaurant,10002.0,NEW YORK,"MANHATTAN, NY",-73.98931116,-73.98931116,40,,
Club/Bar/Restaurant,10012.0,NEW YORK,"MANHATTAN, NY",-74.00119065,-74.00119065,15,,
Club/Bar/Restaurant,10014.0,NY,"MANHATTAN, NY",-74.00596145,-74.00596145,110,,
Club/Bar/Restaurant,10009.0,NEW YORK,"MANHATTAN, NY",-73.97828105,-73.97828105,88,,
Club/Bar/Restaurant,10128.0,NEW YORK,"MANHATTAN, NY",-73.94922052,-73.94922052,35,,
Club/Bar/Restaurant,11223.0,,"BROOKLYN, NY",-73.97703729,-73.97703729,67,,
Club/Bar/Restaurant,11225.0,,"BROOKLYN, NY",-73.95324671,-73.95324671,65,,
Club/Bar/Restaurant,11435.0,JAMAICA,"QUEENS, NY",-73.81356446,-73.81356446,15,,
Club/Bar/Restaurant,11216.0,,"BROOKLYN, NY",-73.95387066,-73.95387066,106,,
Club/Bar/Restaurant,11373.0,ELMHURST,"QUEENS, NY",-73.87090067,-73.87090067,83,,
Club/Bar/Restaurant,10014.0,NEW YORK,"MANHATTAN, NY",-74.00539123,-74.00539123,16,,
Club/Bar/Restaurant,10011.0,NEW YORK,"MANHATTAN, NY",-73.99834359,-73.99834359,24,,
Club/Bar/Restaurant,11231.0,,"BROOKLYN, NY",-73.99323967,-73.99323967,25,,
Club/Bar/Restaurant,10009.0,NEW YORK,"MANHATTAN, NY",-73.97780461,-73.97780461,54,,
Club/Bar/Restaurant,11231.0,,"BROOKLYN, NY",-74.00444551,-74.00444551,34,,
Club/Bar/Restaurant,10031.0,NEW YORK,"MANHATTAN, NY",-73.94837452,-73.94837452,20,,
Club/Bar/Restaurant,11231.0,,"BROOKLYN, NY",-73.99806758,-73.99806758,23,,
Club/Bar/Restaurant,10002.0,NEW YORK,"MANHATTAN, NY",-73.98921727,-73.98921727,38,,
Club/Bar/Restaurant,11225.0,,"BROOKLYN, NY",-73.95370139,-73.95370139,18,,
Club/Bar/Restaurant,10028.0,NEW YORK,"MANHATTAN, NY",-73.95632493,-73.95632493,151,,
Club/Bar/Restaurant,10465.0,BRONX,"BRONX, NY",-73.8240774,-73.8240774,13,,
Club/Bar/Restaurant,10034.0,NEW YORK,"MANHATTAN, NY",-73.92024792,-73.92024792,42,,
Club/Bar/Restaurant,11249.0,,"BROOKLYN, NY",-73.95643113,-73.95643113,NaN,,
Club/Bar/Restaurant,10031.0,NEW YORK,"MANHATTAN, NY",-73.95306933,-73.95306933,60,,
Club/Bar/Restaurant,11205.0,,"BROOKLYN, NY",-73.96958077,-73.96958077,32,,
Club/Bar/Restaurant,10014.0,NEW YORK,"MANHATTAN, NY",-74.00597582,-74.00597582,12,,
Club/Bar/Restaurant,10019.0,NEW YORK,"MANHATTAN, NY",-73.9877369,-73.9877369,17,,
Club/Bar/Restaurant,11377.0,WOODSIDE,"QUEENS, NY",-73.90354533,-73.90354533,32,,
Club/Bar/Restaurant,10462.0,BRONX,"BRONX, NY",-73.85090765,-73.85090765,16,,
Club/Bar/Restaurant,11211.0,,"BROOKLYN, NY",-73.94507144,-73.94507144,74,,
Club/Bar/Restaurant,10019.0,NEW YORK,"MANHATTAN, NY",-73.98736136,-73.98736136,55,,
Club/Bar/Restaurant,11217.0,,"BROOKLYN, NY",-73.9746902,-73.9746902,43,,
Club/Bar/Restaurant,11373.0,ELMHURST,"QUEENS, NY",-73.89134499,-73.89134499,65,,
Club/Bar/Restaurant,10471.0,BRONX,"BRONX, NY",-73.8982722,-73.8982722,14,,
Club/Bar/Restaurant,11215.0,,"BROOKLYN, NY",-73.9844268,-73.9844268,21,,
Club/Bar/Restaurant,11372.0,JACKSON HEIGHTS,"QUEENS, NY",-73.88119355,-73.88119355,65,,
Club/Bar/Restaurant,10016.0,NEW YORK,"MANHATTAN, NY",-73.98041167,-73.98041167,98,,
Club/Bar/Restaurant,10032.0,NEW YORK,"MANHATTAN, NY",-73.93577346,-73.93577346,21,,
Club/Bar/Restaurant,11234.0,,"BROOKLYN, NY",-73.92756266,-73.92756266,20,,
